id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm42831,KyoKii...MainJhuthNahinBolta,MOVIE,"Inpiredfromthemovie""LiarLiar"",thismovieisaboutalawyer(Govinda)wholieshiswaythroughmarriageandcareer.Hiswife(SushmitaSen)fallsinlovewithhimbecauseofhishonestyandwhenshefindsoutofhisdishonestyshethreatenstodivorcehim.Theirson,toavoidthedivorce,wishesonashootingstarthathisfathershouldlosetheabilitytolie.Whathappensafterthatisanenjoyablejourney.",2001,,149,"comedy,action,drama,fantasy",IN,,tt0297241,5.3,2232,2.593,5.4
ts70843,ThePrinceWhoTurnsintoaFrog,SHOW,"ThePrinceWhoTurnsIntoaFrogisa2005TaiwanesedramastarringMingDowandSamWangofboyband183Club;andJoeChenandJoyceZhaoofgirlgroup7Flowers,aswellasallthemembersoftheformerandtwomembersofthelatter,whoaresignedbyJungieryEntertainment.ItwasproducedbySanlihE-TelevisionanddirectedbyChenMingZhangandLiuJunJie.

TheserieswasfirstbroadcastinTaiwanonfree-to-airTaiwanTelevisionfrom5June2005to16October2005,everySundayat21:30andcableTVSanlihE-Televisionfrom11June2005to22October2005,everySaturdayat21:00.

Episodesevenwasbroadcaston17July2005,itachievedanaverageratingof7.05andpeakedat8.05,whichbrokethepreviousaveragerecordof6.43heldbyMeteorGardenandwasthehighestpeakforasingleepisodeforaTaiwanesedramauntilitwasbrokenbyepisode13ofFatedToLoveYouwhichpeakedat8.13in2008.",2005,TV-14,44,"drama,comedy,romance",TW,1,tt1454440,6.7,136,1.613,5.8
tm216753,OldThieves:TheLegendofArtegio,MOVIE,"Isthestoryofagenerationofthieveswhoachievedtheirgreatestvictoriesinthesixties;theirdistinctivecodeofethics,thevariouscategoriesofdelinquentsinhabitingthecitysstreets,theirallianceswithhighrankingpoliceofficialsthatallowedthemtooperate,thebetrayalsthatfollowed,andthepricetheyendeduppaying.",2007,,97,"documentation,crime",MX,,tt1020042,8,317,1.743,7.4
tm168751,StrayBullet,MOVIE,"Nohaisabouttomarry.Herfamilyisrelievedtoseehertakeadvantageofthislastchancebeforeofficiallybecomingaspinsterjustlikeheroldsister.Alliswellinthebravenewworldandyet,thisSundayinthemonthofAugustintheyear1976inLebanon,twoweeksbeforethewedding,whilethesamenighthisbrotherorganizedadinnerinhishonorfriendly,Nohachangeshermind.",2010,,76,drama,LB,,tt1726871,6.3,368,0.958,5.3
tm101540,WellDoneAbba,MOVIE,"ThisisthestoryofArmaanAli,adriverworkingforaseniorexecutiveinMumbai.Hetakesamonth'sleavetofindahusbandforhisteenagedaughter,wholivesnearHyderabad.Whenheisdelayedandreturnstoworkafterthreemonths,hisemployerthreatenstosackhim.ButheispersuadedtolistentothereasonforArmaanAli'sdelay.Thestoryherelatesisdelightful,hilarious--andpoignant.",2010,,144,comedy,IN,,tt1397492,7.2,1902,1.798,5.3
tm142153,Kisaan,MOVIE,Abitterfamilybattleensuesbetweenafatherandhissonswhenabusinessmanmakesadealthatenticesfarmerstosellofftheirproperties.,2009,,100,"drama,thriller,action,crime",IN,,tt1372266,5.5,305,1.844,6.3
tm92671,OnceaGangster,MOVIE,"RoastPorkjoinsthetriadasayoungmanandendsupbecomingatrustedlieutenantofbossKerosene.However,histruepassionisinhissuccessfulchainofrestaurants,hislovingwife,andhistwochildren.SowhenKerosenewantstopromotehistrustedrighthandmantothetopoftheorganizationasawaytotakeonhisfinancialdebts,it'sunderstandablewhyRoastPorkwouldwanttorefuse.RoastPorkcomesupwithanintricateschemewithhismenthatwouldtakehimselfoutoftherunning,butKerosene'sinterventioncausesittofail.Whenallhopesappearstobelost,lifelonggangsterSparrowisreleasedfromjailafterservinga20-yearsentenceforcommittingagang-relatedmurderthatearnedhimaguaranteefortheleaderspot.However,Sparrowhasmadehisownplanstostayoutofthegang,settingoffabattleofwitsbetweenthetwomen.",2010,,95,"comedy,crime,action",HK,,tt1611840,5.7,500,3.253,6.3
tm88343,Perazhagan,MOVIE,Ahunchbackedphoneboothoperatorlovesablindstreetdancerandwantstohelpherregainhersight.Hislookalikeisaconstableinlovewiththecommissioner'sdaughter.,2004,,148,"comedy,thriller,drama,romance",IN,,tt0422934,6.4,1524,4.414,6.6
ts23353,Together,SHOW,"TogetherisaSingaporeanChinesedramaproducedin2009.ItwastelecastedonSingapore'sfree-to-airchannel,MediaCorpChannel8.ItisMediaCorp's46thanniversaryyear-endblockbusterdrama,andwassponsoredbytheMediaDevelopmentAuthorityofSingapore.Itmadeitsdebuton30November2009andendedon18January2010.Thisdramaserialconsistsof36episodes,andwasscreenedoneveryweekdaynightat9:00pm.

TheseriesalsoutilizedthewriterandsomecastmembersfromTheLittleNyonya,a2008productionbyMediaCorpthatwentontobecomethehighestratedSingaporeanTVseriesin15years.

Theseriestitlealsoreferstothechildren'sfolksong""TheMoreWeGetTogether""andthetuneisplayedduringtheinterludeandintheintroductionofthethemesong.",2009,TV-14,45,"drama,comedy",SG,1,,,,0.628,
tm628693,"DoPaiseKiDhoop,ChaarAaneKiBaarish",MOVIE,"Whenasexworkerhiresagaysongwritertocareforherdisabledson,theensuingbondsthatformofferacomplexportrayalofloveandfamily.",2009,,121,drama,IN,,tt1935782,6.5,212,1.299,6.2
tm155774,PomegranatesandMyrrh,MOVIE,"Afreespiritedwomandancer,Kamar,findsherselfthelonelywifeofaprisoner,Zaid,andawayfromeverythingshelovesuntilshereturnstothedance,defyingsocietystaboos.AtthedanceKamarisconfrontedwithKais,aPalestinianreturnee.SparksflybetweenKamarandKais,creatingmorethanapassionate,emotionaldanceforthebothofthem.MattersbecomeevenmorecomplicatedwhenZaid'ssentenceisextended.Kamar'slifeisthrownintoturmoilasshebecomesincreasinglyattachedtoKais,andcaughtinthemidstofherdesiretodanceandbreakingthefamilyandsocietytaboosoftheprisoner'swife'srolewhilelifeunderoccupationrageson.",2009,,95,drama,"FR,DE,KW,PS",,tt1320282,6.2,253,2.784,6.7
